#list of all IG-element (stages III-VI) transitions found in Feige110
#
#wavelength/Angstrom, Element, Ion, log(gf)_Kurucz, E_low/cm^-1, E_up/cm^-1
#
1150.03,Fe,V,-1.43,377537.90,290583.70
1150.09,Ni,V,-0.75,212095.80,299045.60
1150.23,Co,VI,0.33,330886.80,417825.90
1150.27,Ni,VI,-0.52,329486.20,416422.30
1150.29,Ni,VI,-1.16,375949.80,462884.10
1150.30,Cr,IV,-1.77,247239.30,160305.40
1150.39,Ni,V,-1.73,243370.50,330297.60
1150.45,Ni,V,-1.13,239107.70,326029.90
1150.78,Cr,IV,-1.65,251807.00,164909.70
1150.94,Cr,IV,-1.28,273866.60,186980.80
1150.95,Cr,IV,0.00,273865.30,186980.80
1150.99,Fe,VI,-1.95,263135.90,350017.80
1151.00,Ni,V,-1.79,235736.50,322617.60
1151.06,Ni,V,-0.79,212095.80,298972.30
1151.09,Ni,V,-1.03,239107.70,325982.20
1151.21,Mn,V,-1.89,338584.90,251719.60
1151.26,Ni,VI,-0.34,296696.70,383557.80
1151.66,Fe,V,-0.29,393895.20,307064.40
1151.96,Ni,V,-0.74,208131.00,294939.60
1151.97,Ni,V,-1.80,225200.70,312008.30
1152.03,Co,V,-0.90,244821.20,331624.40
1152.18,Ni,V,-1.32,212253.40,299045.60
1152.36,Ni,VI,-0.14,374843.90,461622.60
1152.51,Ti,V,-1.45,492567.10,579334.60
1152.53,Co,VI,-0.71,298620.20,385386.00
1152.53,Ni,V,-1.40,225200.70,311966.50
1152.58,Fe,V,-0.84,365555.80,278794.20
1152.63,Cr,IV,-1.60,252188.30,165430.00
1152.67,Ni,V,0.03,246240.90,332995.60
1152.72,Co,VI,0.30,358810.90,445562.10
1152.77,Fe,VI,0.26,292330.10,379077.60
1152.79,Ni,V,-1.38,225545.10,312291.00
1152.79,Ni,VI,-0.42,297350.50,384096.50
1152.99,Co,VI,-1.15,273727.70,360458.80
1153.11,Ni,VI,0.37,347445.20,434167.30
1153.13,Ni,VI,-1.11,336344.90,423065.50
1153.26,Ti,V,-0.37,481987.70,568698.50
1153.28,Ti,V,-0.28,487974.60,574683.80
1153.57,Co,VI,-0.44,306439.20,393127.00
1153.65,Ni,VI,-0.32,332031.80,418713.40
1153.67,Fe,V,-1.11,379110.80,292430.70
1153.72,Co,VI,-0.22,307482.70,394159.00
1153.88,Co,VI,-0.26,307720.00,394384.30
1153.99,Ni,V,-1.26,229413.00,316068.80
1154.23,Ni,VI,-0.78,337007.70,423645.80
1154.27,Ni,VI,-1.25,336430.40,423065.50
1154.47,Co,VI,0.48,326384.30,413003.80
1154.54,Mn,VI,-0.38,444637.10,531252.00
1154.61,Ni,VI,0.33,297350.50,383960.20
1154.64,Co,VI,0.42,354336.20,440943.20
1154.82,Fe,VI,-1.98,262368.40,348962.10
1154.87,Ni,V,-1.25,212455.70,299045.60
1154.88,Co,VI,-0.39,303840.90,390430.30
1154.95,Ni,VI,-0.78,330580.50,417164.10
1154.98,Ni,V,-1.74,229408.80,315990.50
1155.02,Fe,V,-0.72,392772.70,306193.90
1155.03,Co,VI,-0.74,273324.80,359902.90
1155.04,Ni,V,-1.59,229413.00,315990.50
1155.47,Ni,V,-1.99,240193.80,326739.00
