#list of all IG-element (stages II-V) transitions found in PG0909+276
#
#wavelength/Angstrom, Element, Ion, log(gf)_Kurucz, E_low/cm^-1, E_up/cm^-1
#
1150.09,Ni,V,-0.75,212095.80,299045.60
1150.14,Co,V,-1.92,244485.40,331431.10
1150.30,Cr,IV,-1.77,247239.30,160305.40
1150.45,Ni,V,-1.13,239107.70,326029.90
1150.74,Co,IV,-1.82,158423.40,245323.90
1150.78,Cr,IV,-1.65,251807.00,164909.70
1150.94,Cr,IV,-1.28,273866.60,186980.80
1150.95,Cr,IV,0.00,273865.30,186980.80
1151.06,Ni,V,-0.79,212095.80,298972.30
1151.09,Ni,V,-1.03,239107.70,325982.20
1151.18,Fe,III,-2.17,222602.50,135735.12
1151.21,Fe,III,-2.18,57221.01,144085.80
1151.52,Cr,IV,-2.26,124734.40,211575.90
1151.66,Fe,V,-0.29,393895.20,307064.40
1151.86,Co,V,-2.05,236353.10,323169.40
1151.96,Ni,V,-0.74,208131.00,294939.60
1151.97,Ni,V,-1.80,225200.70,312008.30
1152.03,Co,V,-0.90,244821.20,331624.40
1152.10,Ni,IV,-2.38,121807.70,208605.70
1152.18,Ni,V,-1.32,212253.40,299045.60
1152.39,Ni,V,-1.18,208163.70,294939.60
1152.41,Ni,V,-2.12,208164.60,294939.60
1152.44,Co,IV,-2.40,157513.10,244285.60
1152.52,Ni,III,-0.85,199701.70,112935.43
1152.53,Ni,V,-1.40,225200.70,311966.50
1152.63,Cr,IV,-1.60,252188.30,165430.00
1152.67,Ni,V,0.03,246240.90,332995.60
1152.79,Ni,V,-1.38,225545.10,312291.00
1152.85,Cr,III,-1.81,25725.24,112467.01
1153.22,Ni,III,-1.92,203964.81,117250.80
1153.26,Ti,V,-0.37,481987.70,568698.50
1153.28,Ti,V,-0.28,487974.60,574683.80
1153.57,Cr,III,-0.79,25779.72,112467.01
1153.63,Ni,V,-1.92,240193.80,326876.30
1153.69,Co,IV,-2.12,136362.90,223041.10
1153.78,Co,V,-1.77,244485.40,331156.70
1153.90,Fe,III,-1.91,57221.01,143883.53
1153.95,Fe,III,-2.38,49576.82,136235.71
1153.99,Ni,V,-1.26,229413.00,316068.80
1154.03,Ni,III,-1.94,200304.50,113651.47
1154.10,Cr,III,-0.71,25725.24,112372.88
1154.22,V_,III,0.03,12187.00,98825.19
1154.27,V_,III,-1.03,583.80,87218.92
1154.47,Cr,III,-1.91,25779.72,112399.84
1154.66,Ni,III,-1.62,200257.00,113651.47
1154.74,Ni,III,-1.54,200695.20,114095.60
1154.87,Ni,V,-1.25,212455.70,299045.60
1154.98,Ni,V,-1.74,229408.80,315990.50
1155.04,Ni,V,-1.59,229413.00,315990.50
1155.37,Cr,III,-0.96,25847.28,112399.84
1155.47,Ni,V,-1.99,240193.80,326739.00
1155.52,Ni,V,-1.23,243331.50,329872.90
1155.54,Mn,III,-0.85,51059.70,137599.20
