#Table28: manually identified isolated lines in Feige110
#
#wavelength/Angstrom, Element, Ion, log(gf)_Kurucz, E_low/cm^-1, E_up/cm^-1
#
1202.74,Co,VI,0.49,307627.00,390770.10
1205.44,Ni,V,-0.11,234275.20,317232.00
1209.60,Ni,V,-0.03,247104.90,329776.30
1210.17,Cr,IV,0.25,263875.90,181243.10
1210.38,Ni,V,0.09,234125.40,316744.00
1210.94,Cr,IV,-0.57,241472.80,158892.70
1211.02,Co,V,0.14,277192.40,359767.20
1212.78,Ni,V,-0.23,216590.50,299045.60
1213.00,Cr,IV,0.09,240967.90,158527.70
1218.91,Mn,V,-0.92,183538.80,265579.30
1219.97,Cr,IV,0.55,241832.50,159863.60
1221.01,Co,V,-0.60,207548.50,289447.50
1221.71,Ni,V,-0.61,243370.50,325222.90
1222.18,Ni,V,-0.67,221429.00,303249.50
1224.54,Ni,V,-0.22,232545.90,314208.80
1225.35,Cr,IV,-0.58,241472.80,159863.60
1225.51,Co,V,-0.17,236746.00,318344.60
1226.27,Ni,V,-1.49,216434.70,297982.80
1227.19,Ni,V,0.27,311470.30,392957.10
1228.89,Ni,V,-0.87,232545.90,313919.80
1230.43,Ni,V,0.11,268273.90,349546.00
1231.10,Ni,V,-0.50,216189.90,297418.10
1232.33,Ni,V,-1.54,208151.50,289298.00
1235.64,Cr,IV,-1.46,239822.20,158892.70
1236.57,Cr,IV,-0.15,255836.90,174968.60
1239.55,Ni,V,-0.01,234082.10,314756.40
1239.95,Ni,V,-0.43,235420.60,316068.80
1242.64,Ni,V,-0.55,234125.40,314599.20
1244.02,Ni,V,-0.35,216189.90,296574.00
1244.32,Mn,IV,0.71,248665.00,168300.30
1244.79,Ni,V,-0.66,229408.80,309743.60
1245.52,Ni,V,-0.72,234275.20,314562.80
1245.62,Ni,IV,-0.53,144815.10,225096.40
1246.94,Cr,IV,-0.55,241182.50,160986.50
1247.47,Ni,V,-0.05,243370.50,323532.20
1248.83,Ni,V,-0.24,247281.80,327356.60
1249.13,Co,V,-0.93,235199.90,315255.40
1251.81,Ni,V,0.47,217048.70,296932.90
1254.19,Ni,V,-0.06,240193.80,319926.50
1255.14,Cr,IV,0.35,257588.60,177916.50
1260.86,Ni,V,-1.17,232655.60,311966.50
1261.76,Ni,V,0.47,216189.90,295444.30
1261.88,Co,V,0.04,241875.40,321122.20
1262.05,Cr,IV,-0.55,239541.40,160305.40
1262.44,Cr,IV,-0.78,240967.90,161756.30
1263.86,Ni,IV,-0.65,145702.20,224824.90
1264.00,Ni,V,-1.17,221087.60,300201.00
1264.10,Mn,VI,-0.19,250527.00,329634.50
1266.87,Ni,V,-0.04,212455.70,291390.00
1267.53,Co,V,-0.11,206962.20,285855.70
1268.87,Ni,V,0.30,274738.60,353548.70
1269.22,Ni,V,-0.29,235420.60,314208.80
