#Table29: Reduced Cu transitions according to the criteria and results obtained in Sect. 11
#
#wavelength/Angstrom, Ion, log(gf)_TOSS, log(gf)_Kurucz, E_low/cm^-1, E_up/cm^-1
#
900.05,VI,-2.35,-2.26,309046,420151
900.85,IV,-1.63,-1.52,200720,311727
901.44,V,-2.29,-2.28,200648,311582
901.72,IV,-2.47,-2.34,228480,339379
902.91,VI,-1.93,-1.85,309111,419864
903.27,V,-2.38,-2.30,229774,340483
905.02,IV,-0.96,-1.03,228480,338975
905.59,V,-2.32,-2.32,201413,311838
906.07,VI,-1.63,-1.58,308998,419365
906.13,V,-2.26,-2.23,199441,309801
906.38,IV,-1.60,-1.49,229064,339393
906.46,VI,-1.99,-1.97,309046,419365
906.67,V,-2.41,-2.36,201413,311706
906.70,IV,-2.35,-2.21,200720,311011
906.96,V,-1.71,-1.69,227801,338059
907.00,VI,-2.10,-2.03,309111,419365
907.87,VI,-1.44,-1.39,322792,432939
908.22,V,-2.47,-2.42,200648,310754
908.33,IV,-1.01,-0.98,218628,328720
908.79,VI,-1.44,-1.44,322805,432841
909.14,IV,-1.43,-1.45,218726,328720
909.82,IV,-1.14,-1.02,217445,327357
910.28,V,-2.07,-2.05,201850,311706
910.88,IV,-1.58,-1.52,214835,324619
910.95,IV,-1.21,-1.23,218945,328720
911.28,IV,-1.03,-1.08,217621,327357
912.09,IV,-2.00,-1.96,222398,332036
912.37,V,-2.39,-2.36,229774,339378
914.27,V,-1.62,-1.59,199441,308818
914.44,IV,-0.82,-0.91,218000,327357
914.57,V,-2.13,-2.08,201413,310754
914.77,IV,-2.12,-2.20,219403,328720
915.09,V,-1.85,-1.82,243140,352419
915.59,IV,-1.00,-0.91,218138,327357
916.14,V,-1.90,-1.86,200648,309801
917.64,VI,-2.45,-2.41,322792,431767
919.13,V,-1.22,-1.18,256272,365071
919.13,V,-2.20,-2.08,256273,365071
921.95,VI,-1.57,-1.52,309046,417512
922.15,IV,-2.35,-2.24,201211,309653
922.39,VI,-2.17,-2.13,322805,431218
922.65,V,-2.20,-2.22,199441,307825
923.07,V,-1.36,-1.30,256272,364607
923.15,V,-2.12,-2.06,278380,386705
923.54,IV,-1.74,-1.68,201211,309490
924.77,IV,-1.85,-1.90,203140,311274
924.98,VI,-1.25,-1.26,309111,417221
925.05,VI,-2.26,-2.18,308998,417100
925.07,VI,-2.40,-2.37,299256,407356
926.02,VI,-1.67,-1.80,309111,417100
926.89,V,-1.54,-1.56,228048,335935
928.37,IV,-2.43,-2.48,216703,324419
929.33,V,-2.41,-2.40,239615,347219
929.96,IV,-1.67,-1.68,221650,329182
930.98,VI,-1.13,-1.15,308998,416411
931.30,VI,-2.39,-2.32,299282,406659
931.60,V,-2.46,-2.47,200648,307991
932.03,IV,-1.81,-1.76,202361,309653
932.97,IV,-2.09,-2.00,215133,322317
933.50,V,-0.89,-0.83,256273,363397
934.34,VI,-2.24,-2.35,308998,416025
934.74,IV,-0.49,-0.55,221739,328720
935.69,VI,-0.88,-0.89,322877,429750
936.42,IV,-1.82,-1.72,215734,322524
936.46,VI,-2.14,-2.10,322792,429578
936.99,IV,-2.33,-2.36,203140,309865
937.15,IV,-2.18,-2.28,214835,321542
937.43,V,-1.99,-1.96,199441,306116
939.50,IV,0.34,0.39,220917,327357
940.54,IV,0.21,0.26,222398,328720
941.51,VI,-2.08,-1.99,309046,415258
941.82,IV,-1.48,-1.53,225859,332036
942.89,V,-2.11,-1.98,226889,332946
943.13,V,-1.90,-1.93,200648,306678
943.29,V,-1.77,-1.79,199441,305453
943.91,V,-1.20,-1.18,246477,352419
944.55,V,-1.00,-0.93,256272,362143
944.56,V,-1.34,-1.29,256273,362143
945.14,IV,-2.07,-1.94,218815,324619
945.23,V,-2.49,-2.49,246624,352419
945.90,IV,-0.89,-0.78,223000,328720
945.98,IV,-1.86,-1.79,217445,323155
946.29,IV,-1.81,-1.83,233299,338975
946.74,VI,-1.06,-1.08,322805,428431
947.18,V,-2.01,-2.05,201413,306989
948.16,V,-1.57,-1.54,200648,306116
949.16,IV,-2.07,-2.05,190554,295910
949.98,V,-1.82,-1.82,201413,306678
950.02,VI,-1.74,-1.68,250877,356137
950.10,VI,-2.29,-2.25,309046,414299
950.45,V,-2.30,-2.40,199441,304655
950.66,IV,-1.94,-1.95,192741,297931
951.12,V,-1.99,-2.03,201850,306989
951.50,IV,-1.55,-1.41,223623,328720
951.80,IV,-2.15,-2.28,216071,321135
952.75,IV,-1.35,-1.29,222398,327357
953.54,IV,-1.13,-1.19,217445,322317
953.94,V,-1.93,-1.99,201850,306678
954.14,V,-1.64,-1.63,246624,351431
954.15,V,-2.24,-2.27,200648,305453
954.56,V,-2.34,-2.32,236059,340820
954.58,V,-1.74,-1.85,199441,304199
954.94,IV,-2.29,-2.29,242530,347249
955.08,V,-1.73,-1.73,201413,306116
955.27,V,-2.15,-2.13,236040,340723
955.44,V,-1.95,-1.92,236059,340723
955.57,IV,-0.27,-0.21,224071,328720
956.25,VI,-1.81,-1.86,322792,427367
956.58,VI,-0.94,-0.95,322792,427331
956.97,IV,-2.02,-2.02,193434,297931
957.05,V,-1.75,-1.73,236331,340820
957.26,V,-2.32,-2.25,226889,331354
957.36,IV,-2.13,-2.03,215133,319587
957.46,V,-2.45,-2.45,236040,340483
957.93,V,-2.34,-2.32,236331,340723
958.01,VI,-1.30,-1.24,250877,355259
958.09,V,-2.45,-2.46,236109,340483
958.61,IV,-2.36,-2.48,218000,322317
959.51,IV,-0.68,-0.70,243029,347249
959.60,IV,-1.97,-1.97,218945,323155
