#Table30: Reduced Zn transitions according to the criteria and results obtained in Sect. 11
#
#wavelength/Angstrom, Ion, log(gf)_TOSS, log(gf)_Kurucz, E_low/cm^-1, E_up/cm^-1
#
901.35,V,-0.70,-0.69,234846,345791
902.50,V,-2.22,-2.24,210973,321776
902.64,V,-2.01,-1.97,231831,342616
903.15,V,-2.10,-2.08,241829,352553
903.22,V,-1.58,-1.57,200644,311359
904.14,V,-1.73,-1.78,235599,346201
908.06,V,-1.83,-1.76,235599,345723
908.59,V,-1.63,-1.63,235730,345791
908.88,V,-2.38,-2.38,235599,345624
909.14,V,-1.26,-1.29,235730,345723
910.03,V,-2.30,-2.35,235903,345790
910.13,V,-0.82,-0.83,200644,310519
911.40,V,-1.64,-1.74,235903,345624
912.84,V,-1.42,-1.36,235599,345146
914.42,V,-1.89,-1.98,212471,321830
914.88,V,-2.15,-2.17,212471,321776
915.22,V,-1.76,-1.77,208715,317978
916.84,V,-1.93,-1.95,210973,320043
919.47,V,-2.28,-2.24,237032,345790
919.50,V,-2.22,-2.26,236969,345723
920.88,V,-1.61,-1.57,237032,345624
921.27,V,-1.27,-1.29,201973,310519
921.90,V,-1.40,-1.43,235599,344070
922.79,V,-1.42,-1.36,202929,311296
923.36,V,-2.04,-2.06,212471,320772
923.43,V,-0.94,-0.97,201973,310265
924.41,V,-1.69,-1.74,236969,345146
924.97,V,-2.45,-2.44,208715,316827
928.10,V,-1.70,-1.65,203548,311296
928.17,V,-2.22,-2.12,237032,344771
929.16,V,-1.69,-1.56,208715,316339
929.17,V,-1.78,-1.79,235599,343221
929.46,V,-2.24,-2.25,202929,310519
930.30,V,-0.83,-0.82,235730,343221
931.66,V,-1.26,-1.29,202929,310265
933.49,V,-1.50,-1.46,208715,315840
933.61,V,-1.38,-1.43,203548,310659
933.69,V,-2.05,-2.05,236969,344070
934.24,V,-1.19,-1.22,237032,344070
936.95,V,-1.39,-1.49,202929,309658
937.06,V,-2.23,-2.27,203548,310265
941.15,V,-1.69,-1.68,236969,343221
941.20,V,-1.99,-2.02,210973,317220
942.31,V,-1.58,-1.58,208715,314838
942.42,V,-1.64,-1.74,203548,309658
943.87,V,-1.79,-1.70,239843,345790
945.34,V,-1.93,-1.86,239843,345624
945.58,V,-1.52,-1.47,240446,346201
945.86,V,-1.46,-1.49,235903,341627
946.54,V,-0.75,-0.76,236969,342616
946.85,V,-1.91,-1.99,210973,316586
947.11,V,-2.09,-2.09,237032,342616
948.03,V,-2.44,-2.49,208715,314197
949.07,V,-1.87,-1.84,210973,316339
949.87,V,-1.69,-1.75,240446,345723
953.03,V,-1.84,-1.87,239843,344771
959.96,V,-1.34,-1.40,212471,316643
960.48,V,-1.20,-1.22,212471,316586
962.79,V,-2.40,-2.41,210973,314838
963.22,V,-1.93,-1.88,208715,312534
967.41,V,-2.41,-2.47,212471,315840
968.76,V,-1.18,-1.21,210973,314197
969.00,V,-2.40,-2.38,226334,329533
970.11,V,-1.33,-1.35,208715,311796
971.42,V,-2.29,-2.26,241829,344771
972.07,V,-1.74,-1.76,227195,330069
974.24,V,-1.34,-1.44,208715,311359
977.16,V,-1.72,-1.73,227195,329533
978.08,V,-1.54,-1.57,241829,344070
982.28,V,-1.84,-1.87,208715,310519
982.96,V,-2.38,-2.42,228335,330069
983.03,V,-1.91,-1.92,212471,314197
984.02,V,-1.68,-1.68,231831,333455
986.91,IV,-2.11,-2.16,130366,231693
987.61,V,-1.87,-1.94,230614,331869
988.17,V,-2.30,-2.29,228335,329533
988.40,V,-2.04,-1.93,227195,328369
988.65,IV,-1.12,-1.10,128730,229878
991.83,V,-2.15,-2.13,210973,311796
992.19,V,-2.17,-2.19,241829,342616
993.51,V,-1.36,-1.36,226334,326987
996.15,V,-2.24,-2.33,210973,311359
996.15,V,-1.55,-1.54,227195,327581
998.42,IV,-2.36,-2.38,135951,236109
999.66,V,-1.82,-1.83,228335,328369
1000.35,V,-1.57,-1.50,231122,331087
1002.03,V,-2.05,-2.06,241829,341627
1004.56,V,-2.29,-2.32,210973,310519
1004.91,IV,-1.81,-1.81,130366,229878
1007.13,V,-1.96,-1.97,210973,310265
1007.66,V,-2.48,-2.43,221631,320871
1011.62,IV,-1.39,-1.41,135951,234802
1011.90,V,-2.27,-2.23,212471,311296
1012.18,IV,-1.24,-1.22,130366,229163
